local;oaci;iata;tipo;denominacion;coordenadas;latitud;longitud;elev;uom_elev;ref;distancia_ref;direccion_ref;condicion;control;region;fir;uso;trafico;sna;concesionado;provincia;inhab
CLH;SAVH;LHS;Aeródromo;"LAS HERAS";"46°32'19""S  68°57'57""W";-68.96583000;-46.53848000;330.00;Metros;"Las Heras";2.0;O;PUBLICO;NOCONTROL;RASU;SAVF;CIVIL;Nacional;NO;NO;"SANTA CRUZ";NO
CLI;;;Aeródromo;CALILEGUA;"23°46'54""S  64°44'59""W";-64.74972222;-23.78166667;442.00;Metros;Calilegua;1.7;E;PRIVADO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;JUJUY;NO
CLN;;;Aeródromo;COLÓN;"32°15'39""S  58° 9'22""W";-58.15611111;-32.26083333;20.00;Metros;Colón;5.0;S;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"ENTRE RÍOS";NO
CLT;;CCT;Aeródromo;"COLONIA CATRIEL";"37°54'29""S  67°49'44""W";-67.82881000;-37.90819000;313.00;Metros;Catriel;4.0;SSO;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"RÍO NEGRO";NO
CNA;;;Aeródromo;CAÑUELAS;"35° 6'42""S  58°43'35""W";-58.72638889;-35.11166667;30.00;Metros;Cañuelas;5.0;SE;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
CNO;;;Aeródromo;"CARMEN DE ARECO";"34°25' 5""S  59°52'28""W";-59.87444444;-34.41805556;49.00;Metros;"Carmen de Areco";5.0;SO;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
CNS;;;Aeródromo;CANALS;"33°33'45""S  62°52' 9""W";-62.86911000;-33.56247000;116.00;Metros;Canals;0.5;E;PRIVADO;NOCONTROL;RANO;SAEF;CIVIL;Nacional;NO;NO;CÓRDOBA;NO
COA;;;Aeródromo;ARIAS;"33°39'52""S  62°22'30""W";-62.37505556;-33.66431111;121.50;Metros;Arias;3.0;SE;PRIVADO;NOCONTROL;RACE;SAEF;AEROAPP;Nacional;NO;NO;CÓRDOBA;NO
COL;SAZQ;;Aeródromo;"RÍO COLORADO";"38°59'42""S  64° 8'25""W";-64.14027778;-38.99500000;84.00;Metros;"Río Colorado";5.0;NO;PRIVADO;NOCONTROL;RACE;SAEF;;Nacional;NO;NO;"RÍO NEGRO";NO
CON;;;Aeródromo;COLÓN;"33°55'21""S  61° 2'47""W";-61.04638889;-33.92250000;90.00;Metros;Colón;5.0;SE;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
CPO;SADO;;Aeródromo;"CAMPO DE MAYO";"34°32' 4""S  58°40'19""W";-58.67200000;-34.53433000;24.00;Metros;"Estación San Miguel";3.5;ENE;PRIVADO;NOCONTROL;RACE;SAEF;MIL;Nacional;NO;NO;"BUENOS AIRES";NO
CQN;;;Aeródromo;"COSQUIN/SANTA MARÍA";"31°17' 9""S  64°27'20""W";-64.45555556;-31.28583333;700.00;Metros;Cosquín;4.5;SSE;PRIVADO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;CÓRDOBA;NO
CQZ;;;Aeródromo;"CAÑADA QUIROZ";"27°32'59""S  58°43' 3""W";-58.71750000;-27.54972222;55.00;Metros;Corrientes;15.0;SE;PRIVADO;NOCONTROL;RANO;SARR;CIVIL;Nacional;NO;NO;CORRIENTES;NO
CRD;;;Aeródromo;CONCORDIA/AEROCLUB;"31°18'14""S  58° 0'54""W";-58.01500000;-31.30388889;90.00;Metros;Concordia;10.0;N;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"ENTRE RÍOS";NO
CRR;SARC;CNQ;Aeródromo;CORRIENTES;"27°26'44""S  58°45'43""W";-58.76194444;-27.44555556;61.50;Metros;Corrientes;7.5;E;PUBLICO;CONTROL;RANE;SARR;CIVIL;Internacional;SI;NO;CORRIENTES;NO
CRV;SAVC;CRD;Aeródromo;"COMODORO RIVADAVIA/GRAL. E. MOSCONI";"45°47' 7""S  67°27'56""W";-67.46555556;-45.78527778;57.60;Metros;"Comodoro Rivadavia";11.0;N;PUBLICO;CONTROL;RASU;SAVF;JOINT;Internacional;SI;SI;CHUBUT;NO
CSA;;;Aeródromo;"CALCHÍN/AEROCAMPO SERVICIOS AÉREOS";"31°39'27""S  63°16'34""W";-63.27608000;-31.65737000;202.00;Metros;Calchín;5.0;E;PRIVADO;NOCONTROL;RANO;SACF;AEROAPP;Nacional;NO;NO;CÓRDOBA;NO
CSJ;;;Aeródromo;"MORTEROS/CAMPO SAN JOSÉ";"30°46'37""S  62° 0'53""W";-62.01466000;-30.77697000;101.00;Metros;Morteros;6.0;SO;PRIVADO;NOCONTROL;RANO;SACF;AEROAPP;Nacional;NO;NO;CÓRDOBA;NO
CSP;;;Aeródromo;"CAPITÁN SARMIENTO/SAN PATRICIO";"34° 2'25""S  59°41'40""W";-59.69444444;-34.04027778;45.00;Metros;"Capitán Sarmiento";16.7;NNE;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
CSQ;;;Aeródromo;"CAPITÁN SARMIENTO/QUEBRACHO HERRADO";"34° 9'22""S  59°52'24""W";-59.87336000;-34.15622000;52.00;Metros;"Capitán Sarmiento";8.0;O;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
CSR;;;Aeródromo;"CARLOS CASARES";"35°37'47""S  61°23'38""W";-61.39401000;-35.62980000;80.00;Metros;"Carlos Casares";2.0;O;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
CSU;;;Aeródromo;CHAJARI/SUR;"30°48' 8""S  58° 0'51""W";-58.01428056;-30.80216944;69.00;Metros;Chajarí;5.0;SSW;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"ENTRE RÍOS";NO
CTA;;;Aeródromo;COPETONAS;"38°44'37""S  60°33'12""W";-60.55343000;-38.74354000;51.00;Metros;Copetonas;9.0;OSO;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
CTP;;;Aeródromo;"CATRILO/ESTABLECIMIENTO LA MARIA PILAR";"36°29'19""S  63°25'59""W";-63.43305556;-36.48861111;125.00;Metros;Catrilo;9.0;S;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"LA PAMPA";NO
CTS;;;Aeródromo;"CAPITÁN SARMIENTO";"34° 9'52""S  59°43'53""W";-59.73148000;-34.16435000;49.00;Metros;"Capitán Sarmiento";3.0;E;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
CUA;;;Aeródromo;"RÍO CUARTO/AEROCLUB";"33° 9'38""S  64°20'14""W";-64.33722222;-33.16055556;424.00;Metros;"Río Cuarto";4.0;SSE;PUBLICO;NOCONTROL;RANO;SACF;;Nacional;NO;NO;CÓRDOBA;NO
CUM;SACC;LCM;Aeródromo;"LA CUMBRE";"31° 0'21""S  64°31'56""W";-64.53210000;-31.00589000;1138.00;Metros;"La Cumbre";4.5;SO;PUBLICO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;CÓRDOBA;NO
CUT;SAZW;CUT;Aeródromo;CUTRAL-CO;"38°56'23""S  69°15'54""W";-69.26500000;-38.93972222;650.00;Metros;"Cutral Có";2.0;OSO;PUBLICO;AERADIO;RACE;SAEF;CIVIL;Nacional;SI;NO;NEUQUÉN;NO
CVV;;;Aeródromo;"VILLA VALERIA";"34°21'23""S  64°54' 4""W";-64.90111111;-34.35638889;290.00;Metros;"Villa Valeria";2.0;SE;PRIVADO;NOCONTROL;RANO;SACF;AEROAPP;Nacional;NO;NO;CÓRDOBA;NO
CZU;;;Aeródromo;"CURUZÚ CUATIÁ/AEROCLUB";"29°46'44""S  58° 5'49""W";-58.09694444;-29.77888889;80.00;Metros;"Curuzú Cuatiá";1.5;NO;PUBLICO;NOCONTROL;RANE;SARR;CIVIL;Nacional;NO;NO;CORRIENTES;NO
DAR;;;Aeródromo;DARREGUEIRA;"37°42'44""S  63° 9'45""W";-63.16253000;-37.71220000;198.00;Metros;Darregueira;1.5;SSO;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
DFR;;;Aeródromo;"DAIREAUX/FUMIGACIONES RODRIGUEZ";"36°35'27""S  61°46'30""W";-61.77504000;-36.59076000;113.00;Metros;Daireaux;2.0;ONO;PUBLICO;NOCONTROL;RACE;SAEF;AEROAPP;Nacional;NO;NO;"BUENOS AIRES";NO
DIA;SAAC;COC;Aeródromo;"CONCORDIA/COMODORO PIERRESTEGUI";"31°17'49""S  57°59'48""W";-57.99666667;-31.29694444;34.00;Metros;Concordia;12.0;N;PUBLICO;CONTROL;RACE;SAEF;CIVIL;Nacional;SI;NO;"ENTRE RÍOS";NO
DIL;SAZT;TDL;Aeródromo;"TANDIL/HÉROES DE MALVINAS";"37°14' 4""S  59°13'43""W";-59.22858611;-37.23437778;175.00;Metros;Tandil;13.0;NO;PUBLICO;CONTROL;RACE;SAEF;;Nacional;SI;NO;"BUENOS AIRES";NO
DIO;;;Aeródromo;"TANDIL/COMANDANTE EDUARDO A. OLIVERO";"37°20'48""S  58°58'58""W";-58.98268000;-37.34678000;193.00;Metros;Tandil;15.0;ESE;PUBLICO;NOCONTROL;RACE;SAEF;;Nacional;NO;NO;"BUENOS AIRES";NO
DOF;;;Aeródromo;"MARTINEZ DE HOZ/FUMIGACIONES ORTEGA";"35°16'41""S  61°33'13""W";-61.55366000;-35.27799000;89.00;Metros;"Coronel Martinez de Hoz";8.0;ENE;PRIVADO;NOCONTROL;RACE;SAEF;AEROAPP;Nacional;NO;NO;"BUENOS AIRES";NO
DOL;SAZD;;Aeródromo;DOLORES;"36°19'12""S  57°43'14""W";-57.72055556;-36.32000000;10.00;Metros;Dolores;4.0;O;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
DOP;;;Aeródromo;"MENDOZA/LA PUNTILLA";"32°57'45""S  68°52'26""W";-68.87395000;-32.96254000;942.00;Metros;"Ap. El Plumerillo";8.5;SO;PUBLICO;NOCONTROL;RANO;SAMF;;Nacional;NO;NO;MENDOZA;NO
DOR;;;Aeródromo;"CORONEL DORREGO";"38°44'28""S  61°15'21""W";-61.25583333;-38.74111111;120.00;Metros;"Coronel Dorrego";2.0;SE;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
DOZ;SAME;MDZ;Aeródromo;"MENDOZA/EL PLUMERILLO";"32°49'54""S  68°47'34""W";-68.79277778;-32.83166667;704.00;Metros;Mendoza;8.0;NE;PUBLICO;CONTROL;RANO;SAMF;;Internacional;SI;SI;MENDOZA;NO
DRA;;;Aeródromo;SAAVEDRA;"37°44'59""S  62°20' 2""W";-62.33392000;-37.74961000;317.00;Metros;Saavedra;3.0;NNE;PUBLICO;NOCONTROL;RACE;SAEF;;Nacional;NO;NO;"BUENOS AIRES";NO
DRX;;;Aeródromo;DAIREAUX;"36°34'58""S  61°47' 3""W";-61.78416667;-36.58277778;116.00;Metros;Daireaux;3.5;O;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
DRY;SAVY;PMY;Aeródromo;"PUERTO MADRYN/EL TEHUELCHE";"42°45'33""S  65° 6'10""W";-65.10277778;-42.75916667;130.00;Metros;"Puerto Madryn";5.3;ONO;PUBLICO;CONTROL;RASU;SAVF;;Nacional;SI;SI;CHUBUT;NO
DTE;;;Aeródromo;DIAMANTE;"32° 0'58""S  60°34'60""W";-60.58329000;-32.01621000;75.00;Metros;Diamante;4.5;NNE;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"ENTRE RÍOS";NO
EAU;SAWO;;Aeródromo;"USHUAIA/EST. AERONAVAL";"54°49'22""S  68°18'15""W";-68.30416667;-54.82277778;6.00;Metros;Ushuaia;1.0;S;PRIVADO;NOCONTROL;RASU;SAVF;;Nacional;NO;NO;"TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR";NO
EBF;;;Aeródromo;"ESPERANZA/ANIBAL BRIZI";"31°24'20""S  60°53'58""W";-60.89944444;-31.40555556;39.00;Metros;Esperanza;1.5;N;PRIVADO;NOCONTROL;RACE;SAEF;AEROAPP;Nacional;NO;NO;"SANTA FÉ";NO
ECA;SAWC;FTE;Aeródromo;"EL CALAFATE";"50°16'48""S  72° 3'11""W";-72.05305556;-50.28000000;204.00;Metros;"El Calafate";16.6;ENE;PUBLICO;CONTROL;RASU;SAVF;CIVIL;Nacional;SI;SI;"SANTA CRUZ";NO
ECX;;;Aeródromo;"EDUARDO CASTEX";"35°52'56""S  64°16'30""W";-64.27500000;-35.88222222;183.00;Metros;"Eduardo Castex";4.5;NE;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"LA PAMPA";NO
EDO;SACD;;Aeródromo;"CORONEL OLMEDO";"31°29'12""S  64° 8'27""W";-64.14083000;-31.48679000;432.00;Metros;"Coronel Olmedo";1.2;S;PUBLICO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;CÓRDOBA;NO
EGO;;;Aeródromo;"LAS PAREJAS/EL GAUCHO";"32°37'46""S  61°32'40""W";-61.54444444;-32.62944444;105.00;Metros;"Las Parejas";6.0;NNO;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"SANTA FÉ";NO
ELC;;;Aeródromo;"VEINTICINCO DE MAYO/ESTANCIA LA CRIOLLA";"35°32'12""S  60° 7'45""W";-60.12916667;-35.53666667;48.00;Metros;"25 de Mayo";12.0;SE;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
ELD;SATD;ELO;Aeródromo;ELDORADO;"26°23'49""S  54°34'29""W";-54.57472222;-26.39694444;209.00;Metros;Eldorado;5.0;NE;PUBLICO;AERADIO;RANE;SARR;CIVIL;Nacional;NO;NO;MISIONES;NO
ELL;;;Aeródromo;"MAR DEL SUR/EA. LUCILA";"38°18'31""S  58° 6'18""W";-58.10500000;-38.30861111;22.00;Metros;"Mar del Sur";5.0;SE;PRIVADO;NOCONTROL;RACE;SAEF;;Nacional;NO;NO;"BUENOS AIRES";NO
ELP;;;Aeródromo;"SANTA ROSA/EL PAMPERO";"36°35'50""S  64°11'12""W";-64.18672000;-36.59712000;178.00;Metros;"Santa Rosa";10.0;NE;PUBLICO;NOCONTROL;RACE;SAEF;;Nacional;NO;NO;"LA PAMPA";NO
ELZ;;;Aeródromo;ELIZALDE;"34°58'30""S  57°57'45""W";-57.96250000;-34.97500000;7.00;Metros;"Rufino de Elizalde";2.0;SSO;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
EMA;SAVD;EMX;Aeródromo;"EL MAITÉN";"42° 1'48""S  71°10'15""W";-71.17083333;-42.03000000;718.00;Metros;"El Maitén";3.0;N;PUBLICO;AERADIO;RASU;SAVF;CIVIL;Nacional;NO;NO;CHUBUT;NO
EML;;;Aeródromo;"CORONEL BRANDSEN/EL MANANTIAL";"35°11'40""S  58°21'36""W";-58.35994000;-35.19441000;15.00;Metros;"Coronel Brandsen";12.5;OSO;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
ENO;SADJ;;Aeródromo;"MARIANO MORENO";"34°33'36""S  58°47'23""W";-58.78972222;-34.56000000;32.00;Metros;"José C. Paz";7.0;S;PUBLICO;CONTROL;RACE;SAEF;;Nacional;NO;NO;"BUENOS AIRES";NO
ENV;;;Aeródromo;"RIACHUELO/NUEVA VALENCIA";"27°35'15""S  58°49' 8""W";-58.81900000;-27.58744000;57.00;Metros;Corrientes;13.5;S;PRIVADO;NOCONTROL;RANE;SARR;;Nacional;NO;NO;CORRIENTES;NO
EPZ;;;Aeródromo;ESPERANZA;"31°28'24""S  60°50'43""W";-60.84527778;-31.47333333;38.00;Metros;Esperanza;8.0;E;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"SANTA FÉ";NO
ERE;SANW;CRR;Aeródromo;CERES;"29°52'18""S  61°55'37""W";-61.92696000;-29.87161000;87.00;Metros;Ceres;0.7;NE;PUBLICO;AERADIO;RANO;SACF;CIVIL;Nacional;NO;NO;"SANTA FÉ";NO
ERT;;;Aeródromo;"VILLA MERCEDES/EA. DON ROBERTO";"34° 0' 4""S  65°21'60""W";-65.36657000;-34.00110000;436.00;Metros;"Villa Mercedes";37.0;SSE;PRIVADO;NOCONTROL;RANO;SAMF;;Nacional;NO;NO;"SAN LUIS";NO
ESN;;;Aeródromo;ESQUINA;"30° 2'51""S  59°32' 7""W";-59.53521000;-30.04762000;39.00;Metros;Esquina;4.0;S;PUBLICO;NOCONTROL;RANE;SARR;CIVIL;Nacional;NO;NO;CORRIENTES;NO
ESQ;SAVE;EQS;Aeródromo;"ESQUEL/BRIGADIER GENERAL ANTONIO PARODI";"42°54'14""S  71° 8' 8""W";-71.13554000;-42.90381000;799.00;Metros;Esquel;12.0;ESE;PUBLICO;CONTROL;RASU;SAVF;CIVIL;Nacional;SI;SI;CHUBUT;NO
ESR;;;Aeródromo;"EL ESPINILLO/ESTANCIA SAN RAFAEL";"25° 2'36""S  58°35'29""W";-58.59132000;-25.04338000;88.00;Metros;"El Espinillo";8.0;SE;PRIVADO;NOCONTROL;RANE;SARR;CIVIL;Nacional;NO;NO;FORMOSA;NO
ETB;;;Aeródromo;"EL TREBOL";"32°12'58""S  61°42'59""W";-61.71634000;-32.21620000;92.00;Metros;"El Trebol";5.0;O;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"SANTA FÉ";NO
EVC;;;Aeródromo;"GDOR. VALENTIN VIRASORO/EA. VILLA CORINA";"28° 2'28""S  56° 4'16""W";-56.07106000;-28.04099000;123.00;Metros;"Gobernador Valentín Virasoro";5.0;O;PRIVADO;NOCONTROL;RANE;SARR;CIVIL;Nacional;NO;NO;CORRIENTES;NO
EZA;;;Aeródromo;"LOS CONQUISTADORES/BUENA ESPERANZA";"30°31'14""S  58°23'59""W";-58.39961000;-30.52042000;75.00;Metros;"Los Conquistadores";8.0;NE;PRIVADO;NOCONTROL;RANE;SAEF;;Nacional;NO;NO;"ENTRE RÍOS";NO
EZE;SAEZ;EZE;Aeródromo;"EZEIZA/MINISTRO PISTARINI";"34°49'20""S  58°32' 9""W";-58.53583333;-34.82222222;20.50;Metros;"Capital Federal";22.0;SSO;PUBLICO;CONTROL;RACE;SAEF;CIVIL;Internacional;SI;SI;"BUENOS AIRES";NO
EZP;;;Aeródromo;EZPELETA;"34°44'47""S  58°12'12""W";-58.20333333;-34.74638889;3.00;Metros;Ezpeleta;3.0;ENE;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
FAE;;;Aeródromo;FIRMAT/AEROCLUB;"33°25'45""S  61°30'40""W";-61.51124000;-33.42909000;105.00;Metros;Firmat;3.0;NO;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"SANTA FÉ";NO
FAG;;;Aeródromo;"FEDERAL/LA ANGELITA";"30°51' 8""S  58°42'24""W";-58.70666667;-30.85222222;70.00;Metros;Federal;13.0;NNE;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"ENTRE RÍOS";NO
FDD;;;Aeródromo;"FORTÍN DRAGONES/EL DESAFÍO";"23°14'33""S  63°19'23""W";-63.32305556;-23.24250000;244.00;Metros;Dragones;2.0;NE;PRIVADO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;SALTA;NO
FDO;SADF;FDO;Aeródromo;"SAN FERNANDO";"34°27'16""S  58°35'27""W";-58.59091000;-34.45454000;3.00;Metros;"San Fernando";2.0;SO;PUBLICO;CONTROL;RACE;SAEF;;Internacional;SI;SI;"BUENOS AIRES";NO
FIM;;;Aeródromo;FIRMAT;"33°28' 5""S  61°30' 4""W";-61.50111111;-33.46805556;105.00;Metros;Firmat;1.7;SO;PRIVADO;NOCONTROL;RACE;SAEF;AEROAPP;Nacional;NO;NO;"SANTA FÉ";NO
FLO;;;Aeródromo;"LAS FLORES";"36° 3'59""S  59° 6' 2""W";-59.10055556;-36.06638889;34.00;Metros;"Las Flores";5.0;S;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
FMA;SACA;;Aeródromo;"CÓRDOBA/CAPITÁN D. OMAR DARIO GELARDI";"31°26'31""S  64°15'30""W";-64.25847000;-31.44195000;486.00;Metros;Córdoba;7.0;SO;PUBLICO;AERADIO;RANO;SACF;MIL;Nacional;NO;NO;CÓRDOBA;NO
FOR;;;Aeródromo;FORMOSA/AEROCLUB;"26°18' 5""S  58°17'54""W";-58.29833333;-26.30138889;70.00;Metros;Formosa;15.0;SO;PUBLICO;AERADIO;RANE;SARR;CIVIL;Nacional;NO;NO;FORMOSA;NO
FRA;;;Aeródromo;"SAN FRANCISCO";"31°24'47""S  62° 7'59""W";-62.13305556;-31.41305556;114.00;Metros;"San Francisco";5.0;ONO;PUBLICO;NOCONTROL;RANO;SACF;;Nacional;NO;NO;CÓRDOBA;NO
FRO;;;Aeródromo;"ROSARIO DE LA FRONTERA";"25°49'34""S  64°57'48""W";-64.96323000;-25.82616000;837.00;Metros;"Rosario de la Frontera";3.6;S;PRIVADO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;SALTA;NO
FRS;;;Aeródromo;FRÍAS;"28°37'43""S  65° 6'48""W";-65.11333333;-28.62861111;330.00;Metros;Frías;2.0;NE;PUBLICO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;"SANTIAGO DEL ESTERO";NO
FSA;SARF;FMA;Aeródromo;FORMOSA;"26°12'46""S  58°13'41""W";-58.22805556;-26.21277778;59.00;Metros;Formosa;7.0;S;PUBLICO;CONTROL;RANE;SARR;CIVIL;Internacional;SI;SI;FORMOSA;NO
FUN;;;Aeródromo;"DEAN FUNES";"30°22'46""S  64°22'47""W";-64.37973000;-30.37934000;689.00;Metros;"Dean Funes";4.5;NNO;PUBLICO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;CÓRDOBA;NO
FVA;;;Aeródromo;"FLORENCIO VARELA/EL PÁJARO";"34°49'36""S  58°19' 0""W";-58.31666667;-34.82666667;16.00;Metros;"Florencio Varela";3.5;SO;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
GAA;;;Aeródromo;"GUALEGUAY/AGROAEREO GUALEGUAY";"33° 2'18""S  59°26'24""W";-59.43992000;-33.03832000;16.00;Metros;Gualeguay;17.0;NO;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"ENTRE RÍOS";NO
GAI;;;Aeródromo;GANCEDO/AGROAIRE;"27°29'41""S  61°39'32""W";-61.65877000;-27.49486000;115.00;Metros;Gancedo;1.0;SE;PRIVADO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;CHACO;NO
GAL;SAWG;RGL;Aeródromo;"RÍO GALLEGOS/PILOTO CIVIL NORBERTO FERNANDEZ";"51°36'32""S  69°18'44""W";-69.31217000;-51.60881000;19.00;Metros;"Río Gallegos";4.5;OSO;PUBLICO;CONTROL;RASU;SAVF;;Internacional;SI;SI;"SANTA CRUZ";NO
GAR;;;Aeródromo;"GENERAL ALVEAR";"35°58'44""S  59°54'25""W";-59.90699000;-35.97895000;50.00;Metros;"General Alvear";11.5;NE;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
GAS;;;Aeródromo;"GENERAL VILLEGAS";"34°59'46""S  62°59'56""W";-62.99883000;-34.99615000;117.00;Metros;"General Villegas";4.5;NNE;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
GBE;;;Aeródromo;"GENERAL BELGRANO";"35°45' 7""S  58°27'48""W";-58.46327000;-35.75191000;12.00;Metros;"General Belgrano";3.0;E;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
GBL;;;Aeródromo;"SALTA/GENERAL BELGRANO";"24°44'45""S  65°25' 8""W";-65.41888889;-24.74583333;1261.00;Metros;Salta;3.0;N;PUBLICO;NOCONTROL;RANO;SACF;;Nacional;NO;NO;SALTA;NO
GCR;;;Aeródromo;"GOBERNADOR CRESPO/AEROCLUB";"30°23'14""S  60°22' 9""W";-60.36916667;-30.38722222;52.00;Metros;"Gobernador Crespo";4.5;SE;PUBLICO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;"SANTA FÉ";NO
GDH;;;Aeródromo;"GENERAL DEHEZA";"32°44'42""S  63°47'46""W";-63.79611111;-32.74500000;274.00;Metros;"General Deheza";0.3;NE;PUBLICO;NOCONTROL;RANO;SACF;CIVIL;Nacional;NO;NO;CÓRDOBA;NO
GDO;;;Aeródromo;GANCEDO/PULVERIZACIONES.M.H.;"27°28'42""S  61°38'40""W";-61.64441000;-27.47845000;97.00;Metros;Gancedo;3.0;E;PRIVADO;NOCONTROL;RANO;SACF;AEROAPP;Nacional;NO;NO;CHACO;NO
GEP;;;Aeródromo;"GUALEGUAYCHÚ/EL POTRERO";"32°58'29""S  58°15'14""W";-58.25388889;-32.97472222;27.00;Metros;Gualeguaychú;25.0;ONO;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"ENTRE RÍOS";NO
GES;SAZV;VLG;Aeródromo;"VILLA GESELL";"37°14' 4""S  57° 1'26""W";-57.02388889;-37.23444444;10.00;Metros;"Villa Gesell";3.0;O;PUBLICO;AERADIO;RACE;SAEF;;Nacional;SI;NO;"BUENOS AIRES";NO
GEZ;;;Aeródromo;"GENERAL RODRIGUEZ/EAA";"34°40'49""S  59° 2' 9""W";-59.03583333;-34.68027778;28.00;Metros;"General Rodriguez";10.0;SE;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
GIL;;;Aeródromo;"SAN ANDRÉS DE GILES";"34°28'13""S  59°25'29""W";-59.42472222;-34.47027778;51.00;Metros;"San Andrés de Giles";3.0;SE;PUBLICO;NOCONTROL;RACE;SAEF;;Nacional;NO;NO;"BUENOS AIRES";NO
GIT;;;Aeródromo;GOYA/ITALAVIATION;"29° 9'31""S  59°10'46""W";-59.17949000;-29.15852000;64.00;Metros;Goya;7.0;E;PRIVADO;NOCONTROL;RANE;SARR;AEROAPP;Nacional;NO;NO;CORRIENTES;NO
GLH;;;Aeródromo;"GENERAL LAS HERAS";"34°55'14""S  58°54'59""W";-58.91638889;-34.92055556;35.00;Metros;"General Las Heras";3.0;E;PUBLICO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"BUENOS AIRES";NO
GLM;;;Aeródromo;"GUALEGUAYCHÚ/BLM CABAÑAS";"32°58'39""S  58°31'20""W";-58.52222222;-32.97750000;7.17;Metros;Gualeguaychú;2.2;OSO;PRIVADO;NOCONTROL;RACE;SAEF;CIVIL;Nacional;NO;NO;"ENTRE RÍOS";NO
